Building ID,Use,Age,Footprint Area,Number of floors,Volume,Gross floor area,Total External Facade area,Height
0_Other non-residential buildings_1985,Other non-residential buildings,1985,280446.56940559566,2.0,1740155.6085052218,560893.1388111913,569271.1037577346,6.204945249262518
0_Other non-residential buildings_1995,Other non-residential buildings,1995,529728.4603499033,3.0,5007395.498879245,1589185.38104971,1195256.0803724006,9.452759052386373
0_Other non-residential buildings_2005,Other non-residential buildings,2005,702860.3859370901,2.0,5246132.986177815,1405720.7718741803,1779548.5695486804,7.463975906372069
0_Other non-residential buildings_2020,Other non-residential buildings,2020,386118.46466531686,2.0,2692323.831993049,772236.9293306337,826589.4865477827,6.972792234442155
0_Offices_1900,Offices,1900,258555.77680714818,5.0,4090038.9095414206,1292778.884035741,338831.5264138977,15.818787574768065
0_Offices_1955,Offices,1955,214632.08513709833,5.0,3395219.3615132924,1073160.4256854916,281270.51703294256,15.818787574768065
0_Offices_1975,Offices,1975,10154.315807698735,4.0,117133.19793101025,40617.26323079494,28876.167280767804,11.535311698913574
0_Offices_1985,Offices,1985,13081.354240970706,4.0,150897.49861350207,52325.416963882824,37199.88431272341,11.535311698913574
0_Offices_1995,Offices,1995,58583.38481563242,4.0,714084.0590098847,234333.53926252967,71782.06942361496,12.189190864562988
0_Offices_2005,Offices,2005,32775.14630315657,3.0,284375.83759904205,98325.43890946973,32799.91394248096,8.67656958625548
0_Offices_2020,Offices,2020,19638.417722147573,3.0,164495.81474414238,58915.253166442715,47750.69444541077,8.376225471496582
0_Hotels and Restaurants_1900,Hotels and Restaurants,1900,103196.93570346244,4.0,1288466.4298216933,412787.74281384976,219304.80253974115,12.485510553570274
0_Hotels and Restaurants_1955,Hotels and Restaurants,1955,85665.74594971826,4.0,1069580.5751346773,342662.983798873,182049.1022515144,12.485510553570274
0_Hotels and Restaurants_1975,Hotels and Restaurants,1975,16020.382724670888,3.0,145391.87592959247,48061.14817401266,51766.47931686354,9.075430870056152
0_Hotels and Restaurants_1985,Hotels and Restaurants,1985,20638.347818418075,3.0,187301.89889822743,61915.04345525423,66688.45706358261,9.075430870056152
0_Hotels and Restaurants_1995,Hotels and Restaurants,1995,71381.7411911655,3.0,689552.3851404636,214145.22357349654,212718.34264181348,9.66006675704074
0_Hotels and Restaurants_2005,Hotels and Restaurants,2005,51771.275392079144,3.0,411680.02152786456,155313.82617623743,102805.81830891474,7.951900323298785
0_Hotels and Restaurants_2020,Hotels and Restaurants,2020,51290.99871090761,2.0,370008.9228175819,102581.99742181522,109526.51777756255,7.2139153480529785
0_Education_1900,Education,1900,476515.2461720098,5.0,6638783.014232595,2382576.230860049,1145689.0319509956,13.931942508794704
0_Education_1955,Education,1955,395564.4006430438,5.0,5510980.488284721,1977822.003215219,951058.3321051039,13.931942508794704
0_Education_1975,Education,1975,30490.65820147745,3.0,271706.7710615551,91471.97460443235,44282.89246473582,8.911148105303587
0_Education_1985,Education,1985,39279.76128844455,3.0,350027.77038229984,117839.28386533365,57047.68436558046,8.911148105303587
0_Education_1995,Education,1995,128673.542682587,3.0,1343088.0321697444,386020.628047761,194372.4247323104,10.437950212367165
0_Education_2005,Education,2005,71835.66505794934,3.0,645048.615265668,215506.99517384803,144748.78013761502,8.979503631591797
0_Education_2020,Education,2020,61938.26944647858,3.0,551941.0924237707,185814.80833943575,89955.60893524227,8.911148105303587
0_Trade_1900,Trade,1900,361211.3485542109,5.0,5343118.120566846,1806056.7427710546,739037.8104329472,14.792221069335938
0_Trade_1955,Trade,1955,299848.43453410757,5.0,4435424.330922823,1499242.1726705378,613489.3917558517,14.792221069335938
0_Trade_1975,Trade,1975,22037.28670994906,4.0,281137.95094831736,88149.14683979625,26079.032402243305,12.757375926020577
0_Trade_1985,Trade,1985,28389.65809435581,4.0,362177.54072089004,113558.63237742324,33596.4596311696,12.757375926020577
0_Trade_1995,Trade,1995,223746.46096494875,4.0,2892742.0790251144,894985.843859795,75687.19513796754,12.92866071065267
0_Trade_2005,Trade,2005,119944.29763156093,3.0,1122193.5529910815,359832.89289468277,98088.76865970441,9.355955849090726
0_Trade_2020,Trade,2020,71266.50656573012,3.0,695144.8923580067,213799.51969719035,108415.89445304341,9.754159784959638
